WP, 13, 2025073018,   , BEST,   0, 253N, 1290E,  15,0, DB, 
WP, 13, 2025073100,   , BEST,   0, 255N, 1296E,  15,0, DB, 
WP, 13, 2025073106,   , BEST,   0, 257N, 1301E,  15,0, DB, 
WP, 13, 2025073112,   , BEST,   0, 258N, 1307E,  15,0, DB, 
WP, 13, 2025073118,   , BEST,   0, 258N, 1316E,  25,0, TD,
WP, 13, 2025080100,   , BEST,   0, 255N, 1323E,  35,0, TS, 
WP, 13, 2025080106,   , BEST,   0, 255N, 1341E,  45,0, TS,
WP, 13, 2025080112,   , BEST,   0, 260N, 1358E,  40,0, TS, 
WP, 13, 2025080118,   , BEST,   0, 266N, 1364E,  45,0, TS, 
WP, 13, 2025080200,   , BEST,   0, 273N, 1369E,  45,0, TS,
WP, 13, 2025080206,   , BEST,   0, 285N, 1385E,  35,0, TS,
WP, 13, 2025080212,   , BEST,   0, 296N, 1396E,  40,0, TS,
WP, 13, 2025080218,   , BEST,   0, 310N, 1408E,  50,0, TS, 
WP, 13, 2025080300,   , BEST,   0, 327N, 1420E,  55,0, TS,
WP, 13, 2025080306,   , BEST,   0, 344N, 1436E,  55,0, TS,
WP, 13, 2025080312,   , BEST,   0, 359N, 1453E,  65,980, TY,
WP, 13, 2025080318,   , BEST,   0, 368N, 1475E,  65,0, TY, 
WP, 13, 2025080400,   , BEST,   0, 372N, 1496E,  65,0, TY,  
WP, 13, 2025080406,   , BEST,   0, 374N, 1518E,  55,0, TS,
WP, 13, 2025080412,   , BEST,   0, 375N, 1539E,  45,0, TS, 
WP, 13, 2025080418,   , BEST,   0, 378N, 1559E,  35,0, EX, 
WP, 13, 2025080500,   , BEST,   0, 381N, 1571E,  35,0, EX, 
WP, 13, 2025080506,   , BEST,   0, 388N, 1585E,  25,0, EX, 
WP, 13, 2025080512,   , BEST,   0, 393N, 1594E,  15,0, EX, 
