WP, 19, 2025081918,   , BEST,   0, 119N, 1338E,  20, 1008, WV,  
WP, 19, 2025082000,   , BEST,   0, 129N, 1320E,  15, 1008, WV,  
WP, 19, 2025082006,   , BEST,   0, 137N, 1307E,  15, 1008, WV,   
WP, 19, 2025082012,   , BEST,   0, 146N, 1293E,  15, 1008, WV,  
WP, 19, 2025082018,   , BEST,   0, 149N, 1280E,  15, 1008, WV,  
WP, 19, 2025082100,   , BEST,   0, 151N, 1268E,  15, 1008, DB, 
WP, 19, 2025082106,   , BEST,   0, 157N, 1255E,  15, 1008, DB,  
WP, 19, 2025082112,   , BEST,   0, 159N, 1245E,  15, 1008, DB,  
WP, 19, 2025082118,   , BEST,   0, 160N, 1235E,  20, 1004, DB,  
WP, 19, 2025082200,   , BEST,   0, 162N, 1225E,  25, 1002, DB,  
WP, 19, 2025082206,   , BEST,   0, 164N, 1219E,  20, 1002, DB,  
WP, 19, 2025082212,   , BEST,   0, 166N, 1210E,  25, 1001, TD,  
WP, 19, 2025082218,   , BEST,   0, 171N, 1187E,  35, 1002, TS,  
WP, 19, 2025082300,   , BEST,   0, 174N, 1166E,  45, 1000, TS, 
WP, 19, 2025082306,   , BEST,   0, 176N, 1150E,  50,  995, TS,
WP, 19, 2025082306,   , BEST,   0, 176N, 1150E,  50,  995, TS, 
WP, 19, 2025082312,   , BEST,   0, 175N, 1134E,  65,  992, TY, 
WP, 19, 2025082318,   , BEST,   0, 172N, 1122E,  65,  989, TY, 
WP, 19, 2025082400,   , BEST,   0, 173N, 1112E,  95,  979, TY, 
WP, 19, 2025082406,   , BEST,   0, 175N, 1103E,  110,  967, TY, 
WP, 19, 2025082412,   , BEST,   0, 179N, 1093E,  125,  964, TY, 
WP, 19, 2025082418,   , BEST,   0, 181N, 1083E,  130,  967, TY, 
WP, 19, 2025082500,   , BEST,   0, 183N, 1073E,  140,  967, TY,  
WP, 19, 2025082506,   , BEST,   0, 184N, 1063E,  145,  905, TY,  
WP, 19, 2025082512,   , BEST,   0, 186N, 1057E,  130,  984, TY,  
WP, 19, 2025082518,   , BEST,   0, 188N, 1046E,  115,  993, TY,  
WP, 19, 2025082600,   , BEST,   0, 191N, 1033E,  95, 1000, TY,
WP, 19, 2025082606,   , BEST,   0, 192N, 1022E,  75, 1002, TD, 
WP, 19, 2025082612,   , BEST,   0, 193N, 1015E,  50, 1004, TS, 
WP, 19, 2025082618,   , BEST,   0, 195N, 1006E,  45, 1006, TS, 
WP, 19, 2025082700,   , BEST,   0, 201N,  998E,  35, 1006, TS, 
WP, 19, 2025082706,   , BEST,   0, 206N,  992E,  35, 1006, DB, 
WP, 19, 2025082712,   , BEST,   0, 209N,  985E,  25, 1006, DB,
