WP, 24, 2025091606,   , BEST,   0, 130N, 1383E, 15, 1009, DB, 
WP, 24, 2025091612,   , BEST,   0, 132N, 1375E, 15, 1007, DB,  
WP, 24, 2025091618,   , BEST,   0, 134N, 1371E, 15, 1007, DB,  
WP, 24, 2025091700,   , BEST,   0, 136N, 1366E, 20, 1007, DB,  
WP, 24, 2025091706,   , BEST,   0, 144N, 1358E, 25, 1007, TD, 
WP, 24, 2025091712,   , BEST,   0, 151N, 1351E, 35, 1008, TS,  
WP, 24, 2025091718,   , BEST,   0, 149N, 1346E, 45, 1008, TS, 
WP, 24, 2025091800,   , BEST,   0, 153N, 1341E, 65, 1008, TY, 
WP, 24, 2025091806,   , BEST,   0, 157N, 1334E, 75, 1006, TY, 
WP, 24, 2025091812,   , BEST,   0, 159N, 1330E, 90, 1005, TY, 
WP, 24, 2025091818,   , BEST,   0, 160N, 1322E, 100, 1004, TS, 
WP, 24, 2025091900,   , BEST,   0, 160N, 1312E, 115, 1000, TS, 
WP, 24, 2025091906,   , BEST,   0, 160N, 1308E, 125,  998, TS, 
WP, 24, 2025091912,   , BEST,   0, 160N, 1305E, 145,  996, TS, 
WP, 24, 2025091918,   , BEST,   0, 162N, 1300E, 145,  992, TS, 
WP, 24, 2025092000,   , BEST,   0, 163N, 1296E, 155,  985, TY, 
WP, 24, 2025092006,   , BEST,   0, 168N, 1290E, 160,  896, TY, 
WP, 24, 2025092012,   , BEST,   0, 173N, 1286E, 150,  957, TY, 
WP, 24, 2025092018,   , BEST,   0, 178N, 1278E, 145,  937, TY, 
WP, 24, 2025092100,   , BEST,   0, 180N, 1270E, 140,  933, TY, 
WP, 24, 2025092106,   , BEST,   0, 184N, 1263E, 140,  922, ST, 
WP, 24, 2025092112,   , BEST,   0, 189N, 1253E, 145,  911, ST,  
WP, 24, 2025092118,   , BEST,   0, 191N, 1241E, 145,  910, ST, 
WP, 24, 2025092200,   , BEST,   0, 192N, 1228E, 145,  910, ST, 
WP, 24, 2025092206,   , BEST,   0, 193N, 1217E, 140,  916, ST, 
WP, 24, 2025092212,   , BEST,   0, 194N, 1205E, 130,  926, ST,  
WP, 24, 2025092218,   , BEST,   0, 196N, 1193E, 125,  930, TY, 
WP, 24, 2025092300,   , BEST,   0, 200N, 1182E, 125,  930, TY,  
WP, 24, 2025092306,   , BEST,   0, 204N, 1171E, 120,  931, TY, 
WP, 24, 2025092312,   , BEST,   0, 208N, 1160E, 115,  937, TY, 
WP, 24, 2025092318,   , BEST,   0, 211N, 1148E, 115,  939, TY, 
WP, 24, 2025092400,   , BEST,   0, 213N, 1138E, 115,  944, TY, 
WP, 24, 2025092406,   , BEST,   0, 216N, 1126E, 105,  948, TY, 
WP, 24, 2025092412,   , BEST,   0, 218N, 1111E,  80,  966, TY, 
WP, 24, 2025092418,   , BEST,   0, 218N, 1098E,  70,  974, TY, 
WP, 24, 2025092500,   , BEST,   0, 218N, 1087E,  60,  981, TS, 
WP, 24, 2025092506,   , BEST,   0, 221N, 1075E,  40,  996, TS, 
WP, 24, 2025092512,   , BEST,   0, 222N, 1060E,  25, 1001, DB, 
WP, 24, 2025092518,   , BEST,   0, 228N, 1055E,  15, 1001, DB, 
WP, 24, 2025092600,   , BEST,   0, 234N, 1047E,  15, 1001, DB, 
