WP, 27, 2025093012,   , BEST,   0, 138N, 1342E,  15, 1008, DB,  
WP, 27, 2025093018,   , BEST,   0, 137N, 1331E,  20, 1006, DB, 
WP, 27, 2025100100,   , BEST,   0, 140N, 1320E,  20, 1006, DB, 
WP, 27, 2025100106,   , BEST,   0, 141N, 1308E,  25, 1006, TD, 
WP, 27, 2025100112,   , BEST,   0, 141N, 1298E,  35, 1006, TS, 
WP, 27, 2025100118,   , BEST,   0, 144N, 1285E,  55, 1004, TS, 
WP, 27, 2025100200,   , BEST,   0, 148N, 1275E,  65, 1002, TY, 
WP, 27, 2025100206,   , BEST,   0, 153N, 1261E,  65,  998, TY, 
WP, 27, 2025100212,   , BEST,   0, 157N, 1249E,  65,  995, TY, 
WP, 27, 2025100218,   , BEST,   0, 160N, 1238E,  55,  993, TS,
WP, 27, 2025100300,   , BEST,   0, 165N, 1223E,  65,  989, TY, 
WP, 27, 2025100306,   , BEST,   0, 170N, 1207E,  65,  990, TY, 
WP, 27, 2025100312,   , BEST,   0, 172N, 1193E,  55,  996, TS,
WP, 27, 2025100318,   , BEST,   0, 177N, 1180E,  55,  995, TS, 
WP, 27, 2025100400,   , BEST,   0, 178N, 1167E,  55,  994, TS,
WP, 27, 2025100406,   , BEST,   0, 183N, 1153E,  65,  991, TY,
WP, 27, 2025100412,   , BEST,   0, 190N, 1140E,  80,  984, TY, 
WP, 27, 2025100418,   , BEST,   0, 197N, 1128E,  90,  977, TY, 
WP, 27, 2025100500,   , BEST,   0, 202N, 1116E, 100,  955, TY, 
WP, 27, 2025100506,   , BEST,   0, 208N, 1106E, 100,  965, TY,
WP, 27, 2025100512,   , BEST,   0, 214N, 1095E,  80,  973, TY,
WP, 27, 2025100518,   , BEST,   0, 219N, 1085E,  65,  983, TY, 
WP, 27, 2025100600,   , BEST,   0, 220N, 1073E,  55,  978, TS,
WP, 27, 2025100606,   , BEST,   0, 221N, 1067E,  45,  995, TS,
WP, 27, 2025100612,   , BEST,   0, 230N, 1063E,  30,  995, TD, 
WP, 27, 2025100618,   , BEST,   0, 235N, 1062E,  20, 1003, DB,
