WP, 28, 2025100200,   , BEST,   0, 168N, 1508E,  15, 1009, WV, 
WP, 28, 2025100206,   , BEST,   0, 171N, 1500E,  15, 1009, WV,
WP, 28, 2025100212,   , BEST,   0, 174N, 1492E,  20, 1009, WV, 
WP, 28, 2025100218,   , BEST,   0, 181N, 1483E,  20, 1010, WV,  
WP, 28, 2025100300,   , BEST,   0, 197N, 1463E,  20, 1011, WV,  
WP, 28, 2025100306,   , BEST,   0, 207N, 1451E,  20, 1011, WV,   
WP, 28, 2025100312,   , BEST,   0, 218N, 1442E,  20, 1011, WV,  
WP, 28, 2025100318,   , BEST,   0, 228N, 1439E,  20, 1008, DB, 
WP, 28, 2025100400,   , BEST,   0, 234N, 1435E,  20, 1006, DB,  
WP, 28, 2025100406,   , BEST,   0, 240N, 1434E,  25, 1005, DB,
WP, 28, 2025100412,   , BEST,   0, 246N, 1432E,  30, 1002, TD, 
WP, 28, 2025100418,   , BEST,   0, 248N, 1430E,  30, 1002, TD,  
WP, 28, 2025100500,   , BEST,   0, 248N, 1427E,  35,  997, TS,  
WP, 28, 2025100506,   , BEST,   0, 250N, 1426E,  45,  994, TS,
WP, 28, 2025100512,   , BEST,   0, 253N, 1423E,  65,  991, TY,  
WP, 28, 2025100518,   , BEST,   0, 255N, 1419E,  85,  985, TY, 
WP, 28, 2025100600,   , BEST,   0, 256N, 1415E,  90,  981, TY, 
WP, 28, 2025100606,   , BEST,   0, 257N, 1409E,  85,  977, TY, 
WP, 28, 2025100612,   , BEST,   0, 262N, 1400E,  90,  976, TY, 
WP, 28, 2025100618,   , BEST,   0, 266N, 1392E, 100,  977, TY, 
WP, 28, 2025100700,   , BEST,   0, 269N, 1386E, 115,  967, TY,  
WP, 28, 2025100706,   , BEST,   0, 275N, 1379E, 135,  958, TY,  
WP, 28, 2025100712,   , BEST,   0, 281N, 1372E, 120,  942, TY, 
WP, 28, 2025100718,   , BEST,   0, 288N, 1370E, 135,  936, TY, 
WP, 28, 2025100800,   , BEST,   0, 297N, 1371E, 140,  936, TY,  
WP, 28, 2025100806,   , BEST,   0, 306N, 1377E, 140,  900, TY,  
WP, 28, 2025100812,   , BEST,   0, 315N, 1384E, 130,  940, TY, 
WP, 28, 2025100818,   , BEST,   0, 324N, 1395E, 125,  942, TY, 
WP, 28, 2025100900,   , BEST,   0, 330N, 1411E, 115,  946, TY, 
WP, 28, 2025100906,   , BEST,   0, 336N, 1436E, 100,  959, TY, 
WP, 28, 2025100912,   , BEST,   0, 339N, 1467E,  95,  968, TY,
WP, 28, 2025100918,   , BEST,   0, 341N, 1503E,  70,  980, TY, 
WP, 28, 2025101000,   , BEST,   0, 346N, 1547E,  65,  979, TY, 
WP, 28, 2025101006,   , BEST,   0, 346N, 1590E,  55,  975, TY,
WP, 28, 2025101012,   , BEST,   0, 346N, 1623E,  35,  978, EX, 
WP, 28, 2025101018,   , BEST,   0, 351N, 1668E,  25,  978, EX, 
