WP, 29, 2025100406,   , BEST,   0,  65N, 1553E,  15, 1009, DB,
WP, 29, 2025100412,   , BEST,   0,  69N, 1544E,  15, 1009, DB, 
WP, 29, 2025100418,   , BEST,   0,  76N, 1533E,  15, 1009, DB,  
WP, 29, 2025100500,   , BEST,   0,  89N, 1517E,  15, 1009, DB, 
WP, 29, 2025100506,   , BEST,   0, 106N, 1506E,  15, 1007, DB,  
WP, 29, 2025100512,   , BEST,   0, 111N, 1499E,  15, 1007, DB,  
WP, 29, 2025100518,   , BEST,   0, 114N, 1496E,  15, 1007, DB, 
WP, 29, 2025100600,   , BEST,   0, 116N, 1490E,  15, 1007, DB, 
WP, 29, 2025100606,   , BEST,   0, 120N, 1479E,  15, 1007, DB,  
WP, 29, 2025100612,   , BEST,   0, 127N, 1463E,  20, 1007, DB,   
WP, 29, 2025100618,   , BEST,   0, 134N, 1457E,  20, 1006, DB,  
WP, 29, 2025100700,   , BEST,   0, 147N, 1445E,  20, 1009, DB,  
WP, 29, 2025100706,   , BEST,   0, 155N, 1423E,  20, 1008, DB,   
WP, 29, 2025100712,   , BEST,   0, 161N, 1411E,  25, 1008, DB, 
WP, 29, 2025100718,   , BEST,   0, 173N, 1399E,  25, 1008, DB,  
WP, 29, 2025100800,   , BEST,   0, 184N, 1389E,  25, 1005, DB,  
WP, 29, 2025100806,   , BEST,   0, 192N, 1382E,  35, 1001, TS,   
WP, 29, 2025100812,   , BEST,   0, 205N, 1373E,  40, 1001, TS, 
WP, 29, 2025100818,   , BEST,   0, 218N, 1363E,  35, 1000, TS, 
WP, 29, 2025100900,   , BEST,   0, 229N, 1357E,  35, 1000, TS, 
WP, 29, 2025100906,   , BEST,   0, 241N, 1348E,  45, 1002, TS,  
WP, 29, 2025100912,   , BEST,   0, 247N, 1343E,  55, 1001, TS, 
WP, 29, 2025100918,   , BEST,   0, 258N, 1339E,  75, 1002, TS, 
WP, 29, 2025101000,   , BEST,   0, 267N, 1327E,  95, 1002, TS, 
WP, 29, 2025101006,   , BEST,   0, 272N, 1316E, 100, 1003, TS, 
WP, 29, 2025101012,   , BEST,   0, 265N, 1308E,  95, 1001, TS, 
WP, 29, 2025101018,   , BEST,   0, 266N, 1305E,  85, 1000, TS,
WP, 29, 2025101100,   , BEST,   0, 272N, 1303E,  65, 1000, TS, 
WP, 29, 2025101106,   , BEST,   0, 277N, 1310E,  45, 1000, TS, 
WP, 29, 2025101112,   , BEST,   0, 287N, 1315E,  45,  997, TS,  
WP, 29, 2025101118,   , BEST,   0, 293N, 1321E,  55,  993, TS,  
WP, 29, 2025101200,   , BEST,   0, 301N, 1335E,  70,  984, TS,  
WP, 29, 2025101206,   , BEST,   0, 309N, 1352E,  95,  984, TS, 
WP, 29, 2025101212,   , BEST,   0, 315N, 1366E, 115,  940, TY,  
WP, 29, 2025101218,   , BEST,   0, 322N, 1383E, 100,  978, TY,  
WP, 29, 2025101300,   , BEST,   0, 331N, 1405E,  75,  974, TY,  
WP, 29, 2025101306,   , BEST,   0, 338N, 1428E,  65,  981, TY,  
WP, 29, 2025101312,   , BEST,   0, 341N, 1453E,  80,  980, TY,  
WP, 29, 2025101318,   , BEST,   0, 344N, 1480E,  80,  985, TY, 
WP, 29, 2025101400,   , BEST,   0, 347N, 1512E,  75,  974, TY,  
WP, 29, 2025101406,   , BEST,   0, 350N, 1546E,  70,  979, TY, 
WP, 29, 2025101412,   , BEST,   0, 350N, 1574E,  70,  979, TY,  
WP, 29, 2025101418,   , BEST,   0, 349N, 1599E,  65,  980, TY, 
WP, 29, 2025101500,   , BEST,   0, 345N, 1624E,  60,  985, EX, 
WP, 29, 2025101506,   , BEST,   0, 340N, 1647E,  55,  988, EX, 
