WP, 30, 2025101400,   , BEST,   0, 108N, 1459E,  20, 1009, DB,
WP, 30, 2025101406,   , BEST,   0, 113N, 1450E,  20, 1009, WV, 
WP, 30, 2025101412,   , BEST,   0, 118N, 1442E,  20, 1009, WV, 
WP, 30, 2025101418,   , BEST,   0, 124N, 1432E,  20, 1009, WV, 
WP, 30, 2025101500,   , BEST,   0, 129N, 1420E,  20, 1009, WV, 
WP, 30, 2025101506,   , BEST,   0, 128N, 1407E,  20, 1007, WV, 
WP, 30, 2025101512,   , BEST,   0, 126N, 1393E,  20, 1007, WV, 
WP, 30, 2025101518,   , BEST,   0, 127N, 1375E,  20, 1007, WV, 
WP, 30, 2025101600,   , BEST,   0, 133N, 1356E,  20, 1007, WV, 
WP, 30, 2025101606,   , BEST,   0, 140N, 1337E,  20, 1007, WV, 
WP, 30, 2025101612,   , BEST,   0, 144N, 1324E,  20, 1007, WV, 
WP, 30, 2025101618,   , BEST,   0, 139N, 1316E,  20, 1007, WV, 
WP, 30, 2025101700,   , BEST,   0, 133N, 1306E,  20, 1007, WV, 
WP, 30, 2025101706,   , BEST,   0, 130N, 1294E,  20, 1008, WV,  
WP, 30, 2025101712,   , BEST,   0, 128N, 1282E,  20, 1007, DB,
WP, 30, 2025101718,   , BEST,   0, 129N, 1270E,  25, 1002, DB,
WP, 30, 2025101800,   , BEST,   0, 126N, 1255E,  30, 1002, TD, 
WP, 30, 2025101806,   , BEST,   0, 131N, 1248E,  30, 1000, TD, 
WP, 30, 2025101812,   , BEST,   0, 135N, 1239E,  35,  998, TS, 
WP, 30, 2025101818,   , BEST,   0, 137N, 1226E,  35,  998, TS, 
WP, 30, 2025101900,   , BEST,   0, 142N, 1212E,  35, 1001, TS,
WP, 30, 2025101906,   , BEST,   0, 149N, 1199E,  30, 1001, TD, 
WP, 30, 2025101912,   , BEST,   0, 161N, 1188E,  35, 1002, TS,
WP, 30, 2025101918,   , BEST,   0, 171N, 1177E,  45,  998, TS, 
WP, 30, 2025102000,   , BEST,   0, 179N, 1164E,  55,  996, TS,  
WP, 30, 2025102006,   , BEST,   0, 182N, 1150E,  65,  996, TY, 
WP, 30, 2025102012,   , BEST,   0, 181N, 1139E,  75,  994, TY, 
WP, 30, 2025102018,   , BEST,   0, 178N, 1130E,  85,  965, TY,  
WP, 30, 2025102100,   , BEST,   0, 176N, 1125E,  80,  993, TY, 
WP, 30, 2025102106,   , BEST,   0, 175N, 1122E,  75,  995, TY,  
WP, 30, 2025102112,   , BEST,   0, 175N, 1119E,  65,  993, TY,  
WP, 30, 2025102118,   , BEST,   0, 175N, 1115E,  60,  988, TS, 
WP, 30, 2025102200,   , BEST,   0, 176N, 1110E,  65,  991, TY,  
WP, 30, 2025102206,   , BEST,   0, 174N, 1103E,  65,  992, TY, 
WP, 30, 2025102212,   , BEST,   0, 170N, 1097E,  65,  997, TY, 
WP, 30, 2025102218,   , BEST,   0, 165N, 1091E,  45,  998, TS,  
WP, 30, 2025102300,   , BEST,   0, 159N, 1087E,  35, 1004, TS, 
WP, 30, 2025102306,   , BEST,   0, 157N, 1084E,  35, 1009, TS,  
WP, 30, 2025102312,   , BEST,   0, 152N, 1080E,  35, 1009, TS,
WP, 30, 2025102318,   , BEST,   0, 148N, 1075E,  30, 1009, TD,   
WP, 30, 2025102400,   , BEST,   0, 142N, 1069E,  25, 1009, DB, 
WP, 30, 2025102406,   , BEST,   0, 139N, 1063E,  20, 1009, DB, 
