WP, 31, 2025103100,   , BEST,   0,  77N, 1422E,  15, 1010, DB,  
WP, 31, 2025103106,   , BEST,   0,  83N, 1416E,  15, 1008, DB, 
WP, 31, 2025103112,   , BEST,   0,  88N, 1405E,  20, 1008, DB,  
WP, 31, 2025103118,   , BEST,   0,  90N, 1398E,  20, 1008, DB,  
WP, 31, 2025110100,   , BEST,   0,  94N, 1390E,  25, 1007, TD,  
WP, 31, 2025110106,   , BEST,   0,  98N, 1381E,  25, 1004, TD, 
WP, 31, 2025110112,   , BEST,   0, 101N, 1374E,  35, 1001, TS, 
WP, 31, 2025110118,   , BEST,   0, 107N, 1362E,  40, 1000, TS, 
WP, 31, 2025110200,   , BEST,   0, 109N, 1348E,  55, 1000, TS, 
WP, 31, 2025110206,   , BEST,   0, 113N, 1332E,  70,  994, TS, 
WP, 31, 2025110212,   , BEST,   0, 113N, 1318E,  90,  993, TS, 
WP, 31, 2025110218,   , BEST,   0, 109N, 1299E, 100,  993, TS,  
WP, 31, 2025110300,   , BEST,   0, 104N, 1287E, 115,  985, TY,
WP, 31, 2025110306,   , BEST,   0, 104N, 1276E, 120,  975, TY, 
WP, 31, 2025110312,   , BEST,   0, 106N, 1260E, 120,  968, TY, 
WP, 31, 2025110318,   , BEST,   0, 108N, 1243E, 100,  987, TY,  
WP, 31, 2025110400,   , BEST,   0, 106N, 1232E,  90,  987, TY,
WP, 31, 2025110406,   , BEST,   0, 107N, 1221E,  60,  985, TY, 
WP, 31, 2025110412,   , BEST,   0, 109N, 1211E,  65,  984, TY, 
WP, 31, 2025110418,   , BEST,   0, 109N, 1199E,  70,  980, TY, 
WP, 31, 2025110500,   , BEST,   0, 114N, 1191E,  75,  980, TY, 
WP, 31, 2025110506,   , BEST,   0, 120N, 1174E,  75,  981, TY, 
WP, 31, 2025110512,   , BEST,   0, 124N, 1160E,  90,  970, TY,  
WP, 31, 2025110518,   , BEST,   0, 131N, 1144E, 110,  960, TY,  
WP, 31, 2025110600,   , BEST,   0, 131N, 1121E, 125,  951, TY, 
WP, 31, 2025110606,   , BEST,   0, 134N, 1108E, 130,  951, TY,  
WP, 31, 2025110612,   , BEST,   0, 138N, 1093E, 140,  915, TY, 
WP, 31, 2025110618,   , BEST,   0, 142N, 1077E,  95,  982, TY, 
WP, 31, 2025110618,   , BEST,   0, 142N, 1077E,  75,  982, TY, 
WP, 31, 2025110700,   , BEST,   0, 145N, 1062E,  55, 1001, TS, 
WP, 31, 2025110706,   , BEST,   0, 148N, 1054E,  35, 1003, TS, 
WP, 31, 2025110712,   , BEST,   0, 154N, 1044E,  20, 1006, DB, 
WP, 31, 2025110718,   , BEST,   0, 160N, 1037E,  15, 1006, DB, 
