WP, 33, 2025112218,   , BEST,   0,  80N, 1353E,  15, 0, WV,   
WP, 33, 2025112300,   , BEST,   0,  81N, 1343E,  15, 0, WV,   
WP, 33, 2025112306,   , BEST,   0,  83N, 1330E,  15, 0, WV, 
WP, 33, 2025112312,   , BEST,   0,  84N, 1315E,  20, 0, DB, 
WP, 33, 2025112318,   , BEST,   0,  84N, 1294E,  20, 0, DB, 
WP, 33, 2025112400,   , BEST,   0,  85N, 1276E,  20, 0, DB, 
WP, 33, 2025112406,   , BEST,   0,  89N, 1264E,  20, 0, DB,
WP, 33, 2025112412,   , BEST,   0,  94N, 1251E,  20, 0, DB,
WP, 33, 2025112418,   , BEST,   0,  98N, 1237E,  25, 0, TD,
WP, 33, 2025112500,   , BEST,   0, 105N, 1222E,  30, 0, TD,
WP, 33, 2025112506,   , BEST,   0, 110N, 1211E,  35, 0, TS, 
WP, 33, 2025112512,   , BEST,   0, 114N, 1201E,  55, 0, TS, 
WP, 33, 2025112518,   , BEST,   0, 121N, 1192E,  65, 0, TY, 
WP, 33, 2025112600,   , BEST,   0, 122N, 1175E,  65, 0, TY, 
WP, 33, 2025112606,   , BEST,   0, 121N, 1162E,  65, 0, TY,  
WP, 33, 2025112612,   , BEST,   0, 126N, 1157E,  60, 0, TS,    
WP, 33, 2025112618,   , BEST,   0, 130N, 1150E,  65, 0, TY, 
WP, 33, 2025112700,   , BEST,   0, 131N, 1143E,  75, 0, TY, 
WP, 33, 2025112706,   , BEST,   0, 130N, 1140E,  85, 0, TY,
WP, 33, 2025112712,   , BEST,   0, 127N, 1138E,  95, 0, TY,  
WP, 33, 2025112718,   , BEST,   0, 124N, 1134E,  90, 0, TY,  
WP, 33, 2025112800,   , BEST,   0, 124N, 1131E,  85, 0, TY,  
WP, 33, 2025112806,   , BEST,   0, 125N, 1127E,  80, 0, TY, 
WP, 33, 2025112812,   , BEST,   0, 127N, 1125E,  75, 0, TY,  
WP, 33, 2025112818,   , BEST,   0, 128N, 1124E,  70, 0, TY, 
WP, 33, 2025112900,   , BEST,   0, 129N, 1123E,  65, 0, TY, 
WP, 33, 2025112906,   , BEST,   0, 133N, 1120E,  75, 0, TY, 
WP, 33, 2025112912,   , BEST,   0, 135N, 1121E,  65, 0, TY, 
WP, 33, 2025112918,   , BEST,   0, 137N, 1123E,  65, 0, TY, 
WP, 33, 2025113000,   , BEST,   0, 141N, 1124E,  60, 0, TS, 
WP, 33, 2025113006,   , BEST,   0, 144N, 1123E,  50, 0, TS,
WP, 33, 2025113012,   , BEST,   0, 146N, 1121E,  45, 0, TS, 
WP, 33, 2025113018,   , BEST,   0, 148N, 1118E,  55, 0, TS,  
WP, 33, 2025120100,   , BEST,   0, 148N, 1116E,  45, 0, TS, 
WP, 33, 2025120106,   , BEST,   0, 147N, 1115E,  40, 0, TS, 
WP, 33, 2025120112,   , BEST,   0, 146N, 1114E,  35, 0, TD,
WP, 33, 2025120118,   , BEST,   0, 143N, 1113E,  30, 0, TD,  
WP, 33, 2025120200,   , BEST,   0, 141N, 1114E,  25, 0, TD, 
WP, 33, 2025120206,   , BEST,   0, 139N, 1117E,  20, 0, DB,  
WP, 33, 2025120212,   , BEST,   0, 137N, 1117E,  20, 0, DB,  
WP, 33, 2025120218,   , BEST,   0, 135N, 1112E,  20, 0, DB,  
WP, 33, 2025120300,   , BEST,   0, 133N, 1106E,  20, 0, DB,
